Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Marill,100,183,water,fairy,42,89.9,157,593092,50,499,Bubble,Aqua Tail,Body Slam,4,4,3,50000
Shuckle,100,213,bug,rock,26.9,345.4,84,780081,50,458,Rock Throw,Gyro Ball,Return<sup>†</sup>,10,14,3,50000
Shuckle (Shadow),99.6,213,bug,rock,26.9,345.4,84,780081,50,458,Rock Throw,Frustration<sup>†</sup>,Gyro Ball,14,10,3,50000
Bronzor,96.8,436,steel,psychic,37.7,134.9,130,661560,42.5,499,Confusion,Gyro Ball,Heavy Slam,4,4,3,50000
Skrelp,92.9,690,poison,water,64,70.3,86,387069,18,498,Acid,Aqua Tail,Sludge Bomb,5,7,3,50000
Dewpider,90.6,751,water,bug,54.2,93.4,91,460799,28.5,500,Bug Bite,Mirror Coat,Bubble Beam,19,14,3,50000
Seel (Shadow),90,86,water,none,53.8,80.4,107,463322,20.5,500,Ice Shard,Aqua Jet*,Aqua Tail,4,4,3,50000
Tentacool,89.1,72,water,poison,57.6,95.5,78,429374,19,497,Poison Sting,Wrap,Water Pulse,5,6,3,50000
Dewpider (Shadow),88.8,751,water,bug,54.2,93.4,91,460799,28.5,500,Bug Bite,Bubble Beam,Frustration<sup>†</sup>,14,24,3,50000
Seel,87,86,water,none,53.8,80.4,107,463322,20.5,500,Lick,Aqua Tail,Icy Wind,12,15,3,50000
Ducklett,86.8,580,water,flying,56.4,71.1,110,441005,23,499,Wing Attack,Brave Bird,Aerial Ace,7,6,3,50000
Shelmet,86.7,616,bug,none,50.3,99.8,99,496726,24.5,500,Acid,Body Slam,Bug Buzz,5,8,3,50000
Melmetal,86.5,809,steel,none,70.4,61.5,82,355094,5.5,500,Thunder Shock,Double Iron Bash*,Dynamic Punch,4,5,20,100000
Tinkaton,86.5,959,fairy,steel,61.6,80.2,82,405445,8.5,500,Fairy Wind,Bulldoze,Flash Cannon,5,8,3,75000
Shelmet (Shadow),86.2,616,bug,none,50.3,99.8,99,496726,24.5,500,Acid,Body Slam,Bug Buzz,5,8,3,50000
Sliggoo,85.9,705,dragon,none,67,75.2,74,373218,9.5,500,Dragon Breath,Body Slam,Dragon Pulse,9,14,5,75000
Grimer (Alolan) (Shadow),85.8,88,poison,dark,69.5,50.5,102,357792,14,499,Bite,Crunch,Frustration<sup>†</sup>,23,35,3,50000
Wooper,85.8,194,water,ground,59.2,60,119,422775,33,500,Mud Shot,Mud Bomb,Body Slam,5,4,3,50000
Stunky (Shadow),85.6,434,poison,dark,67.8,57,94,363282,16.5,498,Bite,Crunch,Flamethrower,23,28,3,50000
Araquanid,85.3,752,water,bug,56.3,100.9,78,442815,10.5,500,Bug Bite,Bubble Beam,Bug Buzz,14,20,3,50000
Lumineon,85,457,water,none,63.2,79.2,79,395603,10.5,500,Gust,Aqua Tail,Blizzard,3,6,3,50000
Skuntank (Shadow),85,435,poison,dark,70.9,55.2,90,352071,8,500,Bite,Crunch,Flamethrower,23,28,3,50000
Wooper (Shadow),85,194,water,ground,59.2,60,119,422775,33,500,Mud Shot,Mud Bomb,Body Slam,5,4,3,50000
Venonat (Shadow),84.7,48,bug,poison,61.3,66.1,100,405313,19.5,499,Bug Bite,Frustration<sup>†</sup>,Poison Fang,24,14,3,50000
Venonat,84.1,48,bug,poison,61.3,66.1,100,405313,19.5,499,Bug Bite,Poison Fang,Psybeam,14,20,3,50000
Sealeo,83.8,364,ice,water,62.9,65.1,97,397554,11,500,Powder Snow,Aurora Beam,Body Slam,8,5,3,50000
Barboach,83.7,339,water,ground,63.5,62.8,98,390844,24,500,Mud Shot,Mud Bomb,Aqua Tail,5,4,1,10000
Tentacool (Shadow),83.7,72,water,poison,58.8,94.9,76,424214,19,500,Poison Sting,Wrap,Water Pulse,5,6,3,50000
Drapion (Shadow),83.5,452,poison,dark,69,79.5,66,362498,8,500,Bite,Aqua Tail,Crunch,18,23,5,75000
Araquanid (Shadow),83.2,752,water,bug,56.3,100.9,78,442815,10.5,500,Bug Bite,Bubble Beam,Bug Buzz,14,20,3,50000
Dratini,83.1,147,dragon,none,71.4,61.9,79,349253,19.5,499,Dragon Breath,Aqua Tail,Twister,9,10,5,75000
Eevee,82.8,133,normal,none,61.8,72,91,404633,18,500,Quick Attack,Body Slam*,Dig,5,7,5,75000
Wooper (Paldean),82.6,194,poison,ground,59.2,60,119,422775,33,500,Mud Shot,Body Slam,Dig,4,6,3,50000
Vulpix (Shadow),82.5,37,fire,none,62.7,77.1,82,395963,22,498,Ember,Weather Ball (Fire),Body Slam,4,4,3,50000
Muk (Alolan),82.3,89,poison,dark,67.7,63.2,86,368264,7,500,Bite,Acid Spray,Dark Pulse,23,25,3,50000
Swinub,82.3,220,ice,ground,64.6,57.8,103,384612,26.5,498,Powder Snow,Body Slam,Icy Wind,5,6,3,50000
Vulpix,82.3,37,fire,none,62.7,77.1,82,395963,22,498,Ember,Weather Ball (Fire),Body Slam,4,4,3,50000
Smeargle,82,235,normal,none,46.2,82.3,135,513797,50,487,Acid,Acid Spray,Aerial Ace,6,6,3,false
Swablu,82,333,normal,flying,52.9,94.6,94,470159,24.5,500,Astonish,Aerial Ace,Disarming Voice,5,5,1,10000
