Rank,Pokemon,Dex,Type1,Type2,Fast Move,Fast Move Type,Charged Move,Charged Move Type,DPS,TDO,ER,CP,Shadow,Mega
1,Mega Lucario Z,448,fighting,steel,Force Palm,fighting,Aura Sphere,fighting,30.71,702,67.14,4237,false,true
2,Mega Rayquaza,384,dragon,flying,Dragon Tail,dragon,Dragon Ascent,flying,29.84,1128,73.98,5713,false,true
3,Mega Mewtwo Y,150,psychic,none,Psycho Cut,psychic,Psystrike,psychic,28.33,1137,71.31,6428,false,true
4,Mega Zeraora,807,electric,none,Volt Switch,electric,Plasma Fists,electric,28.07,832,65.50,4853,false,true
5,Shadow Regigigas,486,normal,none,Zen Headbutt,psychic,Crush Grip,normal,27.98,859,65.87,4346,true,false
6,Mega Mewtwo X,150,fighting,psychic,Counter,fighting,Psystrike,psychic,27.67,1073,69.06,6112,false,true
7,Mega Baxcalibur,998,dragon,ice,Ice Fang,ice,Glaive Rush,dragon,26.99,1206,69.79,5641,false,true
8,Eternatus,890,dragon,poison,Poison Jab,poison,Dynamax Cannon,dragon,26.74,1087,67.53,4429,false,false
9,Mega Lucario,448,fighting,steel,Force Palm,fighting,Aura Sphere,fighting,26.62,656,59.31,3826,false,true
10,Dawn Wings Necrozma,800,ghost,psychic,Psycho Cut,psychic,Moongeist Beam,ghost,25.92,909,63.07,4099,false,false
11,Dusk Mane Necrozma,800,psychic,steel,Psycho Cut,psychic,Sunsteel Strike,steel,25.92,909,63.07,4099,false,false
12,Zacian - Crowned Sword,888,fairy,steel,Metal Claw,steel,Behemoth Blade,steel,25.87,948,63.64,4979,false,false
13,Mega Blaziken,257,fighting,fire,Counter,fighting,Aura Sphere,fighting,25.85,673,58.40,4161,false,true
14,Shadow Mewtwo,150,psychic,none,Psycho Cut,psychic,Psystrike,psychic,25.76,672,58.23,4178,true,false
15,Ash Greninja,658,dark,water,Water Shuriken,water,Hydro Cannon,water,25.27,569,55.05,3984,false,false
16,Shadow Salamence,373,dragon,flying,Dragon Tail,dragon,Fly,flying,25.25,617,56.14,3749,true,false
17,Blacephalon,806,fire,ghost,Astonish,ghost,Mind Blown,fire,24.91,443,51.15,3297,false,false
18,Black Kyurem,646,dragon,ice,Dragon Tail,dragon,Freeze Shock,ice,24.77,885,60.56,4605,false,false
19,Zamazenta - Crowned Shield,889,fighting,steel,Metal Claw,steel,Behemoth Bash,steel,24.77,1093,63.84,4172,false,false
20,Mega Zygarde,718,dragon,ground,Dragon Tail,dragon,Earthquake,ground,24.77,1285,66.47,6710,false,true
21,Regieleki,894,electric,none,Lock-On,normal,Thunder Cage,electric,24.13,481,50.97,2803,false,false
22,Shadow Haxorus,612,dragon,none,Dragon Tail,dragon,Breaking Swipe,dragon,23.99,514,51.60,3593,true,false
23,Shadow Blaziken,257,fighting,fire,Counter,fighting,Aura Sphere,fighting,23.83,441,49.42,2848,true,false
24,Shadow Reshiram,643,dragon,fire,Fire Fang,fire,Fusion Flare,fire,23.59,678,54.62,4038,true,false
25,Mega Sceptile,254,dragon,grass,Fury Cutter,bug,Frenzy Plant,grass,23.52,613,53.14,4056,false,true
26,Mega Delphox,655,fire,psychic,Fire Spin,fire,Blast Burn,fire,23.43,797,56.58,4783,false,true
27,Mega Alakazam,65,psychic,none,Confusion,psychic,Psychic,psychic,23.38,580,52.18,4510,false,true
28,Mega Absol Z,359,dark,ghost,Snarl,dark,Brutal Swing,dark,23.30,440,48.58,3576,false,true
29,Mega Gengar,94,ghost,poison,Lick,ghost,Shadow Ball,ghost,23.29,588,52.21,4336,false,true
30,Rayquaza,384,dragon,flying,Dragon Tail,dragon,Dragon Ascent,flying,23.17,678,53.90,3835,false,false
31,Regigigas,486,normal,none,Zen Headbutt,psychic,Crush Grip,normal,23.09,851,56.90,4346,false,false
32,Mega Garchomp,445,dragon,ground,Dragon Tail,dragon,Breaking Swipe,dragon,23.05,963,58.60,5424,false,true
33,Shadow Toucannon,733,flying,normal,Peck,flying,Beak Blast,flying,23.04,440,48.16,2689,true,false
34,Shadow Metagross,376,psychic,steel,Fury Cutter,bug,Meteor Mash,steel,23.00,663,53.29,3791,true,false
35,Shadow Moltres,146,fire,flying,Fire Spin,fire,Fly,flying,22.79,573,51.04,3465,true,false
36,Mega Charizard Y,6,fire,flying,Fire Spin,fire,Blast Burn,fire,22.78,721,54.03,4455,false,true
37,Mega Raichu Y,26,electric,none,Thunder Shock,electric,Wild Charge,electric,22.76,462,48.31,3780,false,true
38,Keldeo - Resolute Forme,647,fighting,water,Low Kick,fighting,Secret Sword,fighting,22.75,732,54.17,3698,false,false
39,Mega Salamence,373,dragon,flying,Dragon Tail,dragon,Fly,flying,22.47,958,57.43,5031,false,true
40,Shadow Chandelure,609,fire,ghost,Fire Spin,fire,Shadow Ball,ghost,22.40,434,46.99,3268,true,false
41,Mega Chandelure,609,fire,ghost,Fire Spin,fire,Shadow Ball,ghost,22.33,638,51.62,4433,false,true
42,Shadow Palkia,484,dragon,water,Dragon Tail,dragon,Draco Meteor,dragon,22.31,605,50.92,3991,true,false
43,Mega Greninja,658,water,dark,Water Shuriken,water,Hydro Cannon,water,22.30,576,50.28,3784,false,true
44,Shadow Honchkrow,430,dark,flying,Snarl,dark,Sky Attack,flying,22.29,365,44.85,2711,true,false
45,Shadow Rampardos,409,rock,none,Smack Down,rock,Rock Slide,rock,22.22,373,44.97,3298,true,false
46,Mega Absol,359,dark,none,Snarl,dark,Brutal Swing,dark,22.21,398,45.69,3301,false,true
47,Shadow Dialga,483,dragon,steel,Metal Claw,steel,Draco Meteor,dragon,22.20,638,51.41,4038,true,false
48,Primal Kyogre,382,water,none,Waterfall,water,Origin Pulse,water,22.20,1016,57.74,5902,false,true
49,White Kyurem,646,dragon,ice,Ice Fang,ice,Ice Burn,ice,22.16,792,54.19,4605,false,false
50,Primal Groudon,383,ground,fire,Mud Shot,ground,Precipice Blades,ground,22.13,1013,57.56,5902,false,true
