Rank,Tier,Pokemon,Type1,Type2
1,SSSSS,Mega Rayquaza,Dragon,Flying
2,SSSS,Mega Mewtwo Y,Psychic,
3,SSS,Mega Mewtwo X,Fighting,Psychic
4,SSS,Eternatus,Dragon,
5,SSS,Kyurem Black,Dragon,Ice
6,SSS,Kyurem White,Ice,
7,SSS,Necrozma Dawn Wings,Psychic,Ghost
8,SSS,Zamazenta Crowned Shield,Steel,
9,SSS,Mega Garchomp,Dragon,
10,SS,Primal Groudon,Ground,
11,SS,Mega Salamence,Dragon,Flying
12,SS,Mega Gengar,Ghost,
13,SS,Mega Blaziken,Fire,Fighting
14,SS,Mega Charizard Y,Fire,
15,SS,Shadow Regigigas,Ice,Normal
16,SS,Shadow Salamence,Dragon,Flying
17,SS,Zacian Crowned Sword,Steel,
18,SS,Mega Lucario,Fighting,
19,SS,Mega Tyranitar,Rock,Dark
20,SS,Rayquaza,Dragon,Flying
21,SS,Primal Kyogre,Water,
22,S,Shadow Reshiram,Fire,
23,S,Necrozma Dusk Mane,Psychic,Steel
24,S,Mega Latios,Dragon,Fighting
25,S,Shadow Moltres,Fire,Flying
26,S,Shadow Garchomp,Dragon,
27,S,Shadow Heatran,Fire,
28,S,Mega Gardevoir,Fairy,
29,S,Shadow Mewtwo,Psychic,
30,S,Keldeo Resolute,Fighting,
31,S,Mega Metagross,Bug,Steel
32,S,Shadow Rhyperior,Ground,Rock
33,S,Shadow Tyranitar,Rock,Dark
34,S,Shadow Haxorus,Dragon,
35,S,Mega Swampert,Ground,Water
36,A,Shadow Hydreigon,Dark,
37,A,Mega Diancie,Rock,
38,A,Regigigas,Ice,Normal
39,A,Shadow Metagross,Bug,Steel
40,A,Baxcalibur,Ice,Dragon
41,A,Mega Charizard X,Fire,
42,A,Shadow Darkrai,Dark,Ghost
43,A,Blacephalon,Ghost,Fire
44,A,Salamence,Dragon,Flying
45,A,Mega Alakazam,Psychic,Ghost
46,A,Shadow Groudon,Ground,
47,A,Lunala,Ghost,
48,A,Regidrago,Dragon,
49,A,Dialga Origin,Steel,Dragon
50,A,Shadow Chandelure,Fire,Ghost
51,A,Shadow Latios,Dragon,Fighting
52,A,Shadow Mamoswine,Ground,Ice
53,A,Yveltal,Dark,Flying
54,A,Mega Dragonite,Dragon,
55,A,Mega Sceptile,Bug,Dragon
56,A,Mega Banette,Ghost,
57,B,Reshiram,Fire,
58,B,Shadow Dragonite,Dragon,
59,B,Palkia Origin,Dragon,
60,B,Mega Latias,Dragon,Fighting
61,B,Enamorus Incarnate,Fairy,Flying
62,B,Shadow Palkia,Dragon,
63,B,Shadow Kyogre,Water,Ice
64,B,Mega Raichu Y,Electric,
65,B,Shadow Delphox,Fire,
66,B,Zeraora,Electric,
67,B,Shadow Zapdos,Electric,Flying
68,B,Moltres,Fire,Flying
69,B,Shadow Annihilape,Fighting,Ghost
70,B,Shadow Dialga,Steel,Dragon
71,B,Shadow Landorus Incarnate,Ground,
72,B,Mega Aerodactyl,Rock,
73,B,Shadow Raikou,Electric,
74,B,Dragapult,Dragon,Ghost
75,B,Mewtwo,Psychic,
76,B,Mega Absol,Dark,
77,C,Apex Shadow Ho-Oh,Fire,Flying
78,C,Shadow Ho-Oh,Fire,Flying
79,C,Garchomp,Dragon,
80,C,Mega Blastoise,Rock,Water
81,C,Galarian Articuno,Psychic,Flying
82,C,Shadow Emboar,Fire,
83,C,Mega Houndoom,Dark,
