Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2
Jellicent,95.8,593,water,ghost,105.8,127.8,157,2123810,25.5,1499,Hex,Surf,Shadow Ball
Kingdra,95.8,230,water,dragon,120.6,127.4,121,1858926,22.0,1498,Dragon Breath,Outrage,Swift
Ludicolo,95.8,272,water,grass,114.7,125.9,135,1950150,25.0,1496,Astonish,Weather Ball (Water),Energy Ball
Lanturn,94.8,171,water,electric,103.6,105,200,2174723,29.0,1500,Spark,Surf,Thunderbolt
Cradily,93.9,346,rock,grass,104,143.1,145,2158357,27.0,1499,Bullet Seed,Rock Tomb,Grass Knot
Kingdra (Shadow),93.7,230,water,dragon,120.6,127.4,121,1858926,22.0,1498,Dragon Breath,Swift,Outrage
Abomasnow,93.5,460,grass,ice,117.4,112.7,145,1918385,25.0,1500,Leafage,Weather Ball (Ice),Energy Ball
Abomasnow (Shadow),93.3,460,grass,ice,117.4,112.7,145,1918385,25.0,1500,Leafage,Weather Ball (Ice),Energy Ball
Araquanid,92.5,752,water,bug,95.3,177,139,2345441,35.5,1496,Bug Bite,Bug Buzz,Bubble Beam
Empoleon,92.3,395,water,steel,123.6,118.3,124,1813237,19.5,1498,Metal Sound,Hydro Cannon,Drill Peck
Lapras,92.2,131,water,ice,102.6,117.5,181,2180447,22.0,1497,Psywave,Sparkling Aria,Skull Bash
Sandslash (Alolan),91.3,28,ice,steel,114.4,135.8,126,1958020,24.0,1497,Shadow Claw,Ice Punch,Drill Run
Carbink,91.2,703,rock,fairy,84.7,249,126,2655734,51.0,1500,Rock Throw,Rock Slide,Moonblast
Sandslash (Alolan) (Shadow),90.7,28,ice,steel,114.4,135.8,126,1958020,24.0,1497,Shadow Claw,Ice Punch,Drill Run
Cradily (Shadow),90.6,346,rock,grass,104,143.1,145,2158357,27.0,1499,Acid,Rock Tomb,Grass Knot
Empoleon (Shadow),90,395,water,steel,123.6,118.3,124,1813237,19.5,1498,Metal Sound,Hydro Cannon,Drill Peck
Toxapex,89.8,748,poison,water,90.4,228.4,120,2478749,43.0,1500,Poison Jab,Brine,Sludge Wave
Bastiodon,89.5,411,rock,steel,79.7,249.8,141,2806400,51.0,1495,Smack Down,Stone Edge,Flamethrower
Barbaracle,89.4,689,rock,water,119.4,135.4,116,1874253,21.5,1497,Fury Cutter,Cross Chop,Stone Edge
Tentacruel,89.2,73,water,poison,108.4,143.7,133,2070940,24.5,1499,Acid,Scald,Payback
Gyarados,89,130,water,flying,128.6,108.6,125,1745493,16.5,1500,Dragon Breath,Aqua Tail,Twister
Bastiodon (Shadow),88.7,411,rock,steel,79.7,249.8,141,2806400,51.0,1495,Smack Down,Stone Edge,Flamethrower
Golisopod,88.5,768,bug,water,123.5,132.6,111,1817644,18.0,1498,Fury Cutter,X-Scissor,Aqua Jet
Lileep,88.5,345,rock,grass,99.6,136.9,149,2032096,51.0,1424,Acid,Ancient Power,Grass Knot
Seaking,88.4,119,water,,119.8,110.9,140,1859716,27.0,1494,Peck,Drill Run,Megahorn
Gastrodon,88.2,423,water,ground,112.5,105.2,169,1999623,25.5,1500,Mud Slap,Body Slam,Earth Power
Pelipper,87.9,279,water,flying,121.6,129.8,117,1846686,27.5,1500,Wing Attack,Weather Ball (Water),Hurricane
Arctibax,87.8,997,dragon,ice,120.5,99.6,154,1849585,28.0,1496,Dragon Breath,Avalanche,Dragon Claw
Araquanid (Shadow),86.9,752,water,bug,95.3,177,139,2345441,35.5,1496,Bug Bite,Bug Buzz,Water Pulse
Quaquaval,86.9,914,water,fighting,135.5,99.9,122,1651058,18.5,1497,Low Kick,Close Combat,Hydro Cannon
Milotic (Shadow),86.7,350,water,,111.6,135.5,133,2011799,19.0,1499,Dragon Tail,Aqua Tail,Wrap
Mantine,86.5,226,water,flying,103.8,167.9,124,2161704,28.0,1498,Wing Attack,Twister,Aerial Ace
Lileep (Shadow),86.4,345,rock,grass,99.6,136.9,149,2032096,51.0,1424,Acid,Ancient Power,Grass Knot
Gyarados (Shadow),86.3,130,water,flying,128.6,108.6,125,1745493,16.5,1500,Dragon Breath,Aqua Tail,Twister
Samurott,86.2,503,water,,126.3,102.4,137,1772125,20.0,1499,Fury Cutter,Hydro Cannon,Megahorn
Samurott (Shadow),85.9,503,water,,126.3,102.4,137,1772125,20.0,1499,Fury Cutter,Hydro Cannon,Megahorn
Tentacruel (Shadow),85.9,73,water,poison,108.4,143.7,133,2070940,24.5,1499,Acid,Scald,Payback
Qwilfish (Shadow),85.5,211,water,poison,129.4,106.9,125,1728251,28.5,1496,Poison Sting,Aqua Tail,Shadow Ball
Starmie (Shadow),85.3,121,water,psychic,131.8,124.3,104,1704301,22.5,1500,Psywave,Aqua Jet,Power Gem
Crustle,85,558,bug,rock,119.2,136.3,116,1884598,23.0,1498,Fury Cutter,X-Scissor,Rock Wrecker
Tauros (Aqua),84.9,128,fighting,water,125.1,123.9,116,1797422,20.0,1500,Double Kick,Aqua Jet,Trailblaze
Qwilfish,84.8,211,water,poison,129.4,106.9,125,1728251,28.5,1496,Poison Sting,Aqua Tail,Shadow Ball
Dewott (Shadow),84.7,502,water,,122,100.5,150,1838760,37.5,1499,Fury Cutter,Aqua Tail,X-Scissor
Swampert,84.7,260,water,ground,120.9,109.9,139,1847633,19.0,1497,Mud Shot,Hydro Cannon,Earthquake
Azumarill,84.5,184,water,fairy,91.9,137.1,194,2444351,49.0,1500,Bubble,Ice Beam,Play Rough
Slowbro,84.5,80,water,psychic,112.2,123,145,2001278,23.0,1499,Confusion,Drain Punch,Psychic
Blastoise,84.4,9,water,,110.6,140.3,131,2032269,24.0,1500,Rollout,Hydro Cannon,Skull Bash
Poliwrath (Shadow),84.2,62,water,fighting,114.3,124.9,138,1969845,22.5,1500,Mud Shot,Icy Wind,Dynamic Punch
Dewott,84.1,502,water,,122,100.5,150,1838760,37.5,1499,Fury Cutter,Aqua Tail,X-Scissor
Baxcalibur,83.8,998,dragon,ice,135.7,97.8,125,1658559,16.0,1500,Dragon Breath,Glaive Rush,Avalanche
Milotic,83.8,350,water,,111.6,135.5,133,2011799,19.0,1499,Dragon Tail,Aqua Tail,Wrap
Quagsire,83.5,195,water,ground,109.7,112.6,166,2051888,30.0,1500,Mud Shot,Aqua Tail,Mud Bomb
Bruxish,83.2,779,water,psychic,135.8,103.2,118,1653436,24.5,1499,Confusion,Aqua Tail,Psychic Fangs
Lairon,83.2,305,steel,rock,112.1,150.4,119,2005854,29.0,1500,Metal Sound,Rock Tomb,Body Slam
Slowbro (Shadow),83.2,80,water,psychic,112.2,123,145,2001278,23.0,1499,Confusion,Drain Punch,Psychic
Starmie,83.2,121,water,psychic,131.8,124.3,104,1704301,22.5,1500,Psywave,Aqua Jet,Power Gem
Quagsire (Shadow),83.1,195,water,ground,109.7,112.6,166,2051888,30.0,1500,Mud Shot,Aqua Tail,Mud Bomb
Lapras (Shadow),82.9,131,water,ice,102.6,117.5,181,2180447,22.0,1497,Psywave,Sparkling Aria,Skull Bash
Regirock,82.8,377,rock,,102.8,182,117,2187960,18.5,1500,Lock On,Stone Edge,Focus Blast
Walrein,82.7,365,ice,water,111.4,115.7,156,2011494,21.0,1499,Powder Snow,Icicle Spear,Earthquake
Poliwrath,82.6,62,water,fighting,114.3,124.9,138,1969845,22.5,1500,Mud Shot,Icy Wind,Dynamic Punch
Golem (Alolan) (Shadow),82.3,76,rock,electric,123.3,123.9,119,1816930,19.0,1497,Volt Switch,Wild Charge,Rock Blast
Crustle (Shadow),82.2,558,bug,rock,119.2,136.3,116,1884598,23.0,1498,Fury Cutter,X-Scissor,Rock Wrecker
Aron,82,304,steel,rock,112.9,129.5,126,1841309,51.0,1442,Metal Sound,Rock Tomb,Body Slam
Aurorus,81.7,699,rock,ice,112,106.6,168,2006559,20.5,1499,Powder Snow,Weather Ball (Ice),Meteor Beam
Swampert (Shadow),81.7,260,water,ground,120.9,109.9,139,1847633,19.0,1497,Mud Shot,Hydro Cannon,Earthquake
Froslass,81.5,478,ice,ghost,121.3,116.3,131,1848718,29.0,1498,Hex,Avalanche,Shadow Ball
Ninetales,81.4,38,fire,,113.6,135.1,129,1978783,26.0,1499,Ember,Weather Ball (Fire),Energy Ball
Swanna,81.2,581,water,flying,126.8,102.4,136,1766440,28.0,1499,Gust,Aqua Jet,Fly
Feraligatr (Shadow),81.1,160,water,,122.1,120.3,125,1836220,20.0,1497,Shadow Claw,Hydro Cannon,Crunch
Politoed (Shadow),81,186,water,,112.5,124.8,142,1993650,24.0,1498,Mud Shot,Weather Ball (Water),Earthquake
